Steel;Toughness (avg);Edge Retention (avg);Corrosion Resistance (avg);quality score2;C;Cr;Mo;V;W;Co;Ni;Mn;Si;S;P;Cu;Nb;N;Tech;Mean price
H1;10;1;10;4.852915636;0.15;15;1;0;0;0;7;2;3.75;0.03;0.04;0.1;0;0.1;Ingot;80
1.4116;2.5;2.5;8;4.558164215;0.5;14.5;0.65;0.15;0;0;0;1;0.75;0.0075;0.02;0;0;0;Ingot;60
1095;4.5;2;0.5;3.73706993;0.96;0;0;0;0;0;0;0.4;0;0.05;0.03;0;0;0;Ingot;
O1;4.5;2;0.5;3.73706993;0.925;0.5;0;0.3;0.5;0;0.3;1.2;0.5;0.03;0.03;0;0;0;Ingot;
12C27 (predicted);7;3;7.5;6.452828044;0.6;13.5;0;0;0;0;0;0.4;0.4;0.01;0.03;0;0;0;Ingot;
AUS-10 (predicted);5.5;3.5;7;6.369681674;1.025;13.75;0.2;0.175;0;0;0.49;0.5;1;0.03;0.04;0;0;0;Ingot;
AUS-6 (predicted);5.5;3;7.5;6.089481231;0.6;13.75;0;0.175;0;0;0.49;1;1;0.03;0.04;0;0;0;Ingot;
9Cr18MoV (predicted);4.5;3.5;8;6.189594177;0.9;18;1.15;0.095;0;0.15;0.6;0.6;0.8;0.03;0.04;0;0;0;Ingot;
5Cr15MoV (predicted);4.5;2.5;8;5.443752994;0.5;14.5;0.65;0.15;0;0;0;1;0.75;0.0075;0.02;0;0;0;Ingot;
7Cr17MoV (predicted);5;3;8.5;6.066740587;0.675;17;0.75;0;0;0;0.6;1;1;0.03;0.04;0;0;0;Ingot;
3Cr13 (predicted);7;2;8;5.614809157;0.305;13;0;0;0;0;0.6;1;1;0.03;0.04;0;0;0;Ingot;
420J2 (predicted);7.5;2;8;5.718757267;0.255;13;0;0;0;0;1;1;1;0.03;0.04;0;0;0;Ingot;
N680 (predicted);6.5;3.5;9;6.86325526;0.54;17.3;1.1;0.1;0;0;0.5;0.4;0.45;0;0;0;0;0.2;Ingot;
PM-Magmamax (predicted);4.5;7.5;8;7.878991923;2.04;10.65;2;8;0;0.8;0;0.5;0;0;0;0;0;0.2;PM;
140Cr (predicted);4.5;4.5;7;6.624417298;1.38;14;2;0.31;0;0;0.17;0.5;0.53;0;0.02;0;0.5;0;Ingot;
AR-RPM9 (predicted);5.5;3.5;8;6.49193468;0.9;18;1.15;0.095;0;0.15;0.6;0.6;0.8;0.03;0.04;0;0;0; spray form;
